player1,player2,player3,player4,player5,seconds played,Defensive Rebounds,available DR,Offensive Rebounds, available OR
"WILLIAMS,JEENATHAN","MCRAE,MONTELL","JORDAN,DAVONTA","BERTRAM,BROCK","GRAVES,JAYVON",19,0,0,0,0
"WILLIAMS,JEENATHAN","GRAVES,JAYVON","BERTRAM,BROCK","SEGU,RONALDO","FAGAN,TRA'VON",578,6,8,2,10
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","CARUTHERS,DONTAY","MCRAE,MONTELL","HARRIS,JEREMY",247,1,1,1,2
"MCRAE,MONTELL","MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","GRAVES,JAYVON",63,1,1,0,1
"MCRAE,MONTELL","HARRIS,JEREMY","BERTRAM,BROCK","GRAVES,JAYVON","CARUTHERS,DONTAY",100,1,1,0,0
"PERKINS,NICK","JORDAN,DAVONTA","GRAVES,JAYVON","MCRAE,MONTELL","HARRIS,JEREMY",298,4,7,1,2
"WILLIAMS,JEENATHAN","SEGU,RONALDO","MCRAE,MONTELL","FAGAN,TRA'VON","MASSINBURG,CJ",111,0,0,0,0
"WILLIAMS,JEENATHAN","PERKINS,NICK","CARUTHERS,DONTAY","SEGU,RONALDO","HARRIS,JEREMY",379,7,9,2,9
"MASSINBURG,CJ","JORDAN,DAVONTA","HARRIS,JEREMY","BERTRAM,BROCK","GRAVES,JAYVON",167,1,2,2,3
"PERKINS,NICK","JORDAN,DAVONTA","SEGU,RONALDO","FAGAN,TRA'VON","GRAVES,JAYVON",115,2,3,0,1
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","CARUTHERS,DONTAY","SEGU,RONALDO","FAGAN,TRA'VON",130,1,2,1,1
"PERKINS,NICK","JORDAN,DAVONTA","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",810,4,6,2,11
"WILLIAMS,JEENATHAN","SEGU,RONALDO","PERKINS,NICK","BERTRAM,BROCK","CARUTHERS,DONTAY",144,4,5,1,3
"WILLIAMS,JEENATHAN","SEGU,RONALDO","CARUTHERS,DONTAY","PERKINS,NICK","MASSINBURG,CJ",496,4,9,2,8
"MCRAE,MONTELL","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","JORDAN,DAVONTA",220,4,6,1,3
"JORDAN,DAVONTA","HARRIS,JEREMY","BERTRAM,BROCK","GRAVES,JAYVON","CARUTHERS,DONTAY",177,1,2,0,2
"MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","MCRAE,MONTELL","HARRIS,JEREMY",591,5,6,1,8
"JORDAN,DAVONTA","GRAVES,JAYVON","BERTRAM,BROCK","SEGU,RONALDO","FAGAN,TRA'VON",79,1,1,0,1
"WILLIAMS,JEENATHAN","SEGU,RONALDO","JORDAN,DAVONTA","BERTRAM,BROCK","GRAVES,JAYVON",112,3,4,1,1
"PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","SEGU,RONALDO","HARRIS,JEREMY",625,5,7,2,4
"SEGU,RONALDO","MCRAE,MONTELL","MASSINBURG,CJ","CARUTHERS,DONTAY","GRAVES,JAYVON",471,5,6,1,3
"PERKINS,NICK","JORDAN,DAVONTA","CARUTHERS,DONTAY","SEGU,RONALDO","HARRIS,JEREMY",45,0,0,1,1
"MASSINBURG,CJ","JORDAN,DAVONTA","GRAVES,JAYVON","MCRAE,MONTELL","HARRIS,JEREMY",3092,28,44,15,49
"MASSINBURG,CJ","CARUTHERS,DONTAY","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY",190,0,0,0,3
"WILLIAMS,JEENATHAN","MCRAE,MONTELL","JORDAN,DAVONTA","CARUTHERS,DONTAY","GRAVES,JAYVON",176,2,3,0,0
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","SEGU,RONALDO","FAGAN,TRA'VON","GRAVES,JAYVON",44,0,0,0,0
"PERKINS,NICK","MASSINBURG,CJ","MCRAE,MONTELL","HARRIS,JEREMY","JORDAN,DAVONTA",1123,18,21,4,15
"WILLIAMS,JEENATHAN","SEGU,RONALDO","MCRAE,MONTELL","BERTRAM,BROCK","GRAVES,JAYVON",10,0,0,0,0
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","HARRIS,JEREMY",3421,29,37,18,43
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","HARRIS,JEREMY",350,2,3,4,12
"PERKINS,NICK","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY","JORDAN,DAVONTA",97,1,1,0,1
"PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","MCRAE,MONTELL","HARRIS,JEREMY",88,0,1,0,1
"WILLIAMS,JEENATHAN","PERKINS,NICK","GRAVES,JAYVON","SEGU,RONALDO","HARRIS,JEREMY",254,4,4,3,5
"PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","MCRAE,MONTELL","HARRIS,JEREMY",151,3,4,3,5
"MASSINBURG,CJ","JORDAN,DAVONTA","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",20,0,0,0,0
"WILLIAMS,JEENATHAN","SEGU,RONALDO","JORDAN,DAVONTA","PERKINS,NICK","MASSINBURG,CJ",76,1,1,0,1
"MASSINBURG,CJ","SEGU,RONALDO","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",12,0,0,0,0
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","JORDAN,DAVONTA",206,3,3,2,5
"WILLIAMS,JEENATHAN","GRAVES,JAYVON","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY",156,2,3,0,4
"MASSINBURG,CJ","SEGU,RONALDO","HARRIS,JEREMY","FAGAN,TRA'VON","GRAVES,JAYVON",106,2,2,1,1
"JORDAN,DAVONTA","MCRAE,MONTELL","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",792,15,18,0,8
"JORDAN,DAVONTA","SEGU,RONALDO","MCRAE,MONTELL","FAGAN,TRA'VON","GRAVES,JAYVON",70,1,1,1,2
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","FAGAN,TRA'VON","GRAVES,JAYVON",96,1,1,1,2
"WILLIAMS,JEENATHAN","MCRAE,MONTELL","MASSINBURG,CJ","GRAVES,JAYVON","JORDAN,DAVONTA",262,1,1,1,4
"WILLIAMS,JEENATHAN","SEGU,RONALDO","HARRIS,JEREMY","PERKINS,NICK","MASSINBURG,CJ",65,2,2,2,4
"WILLIAMS,JEENATHAN","SEGU,RONALDO","MCRAE,MONTELL","GRAVES,JAYVON","MASSINBURG,CJ",146,0,0,0,3
"WILLIAMS,JEENATHAN","SEGU,RONALDO","GRAVES,JAYVON","PERKINS,NICK","MASSINBURG,CJ",15,0,0,0,0
