14:33;JORDAN,DAVONTA;goes to the bench
14:33;SEGU,RONALDO;enters the game
14:33;COOK,AARON;goes to the bench
14:33;BEANE,DARIUS;enters the game
14:04;LLOYD,SEAN;defensive rebound
13:51;PERKINS,NICK;goes to the bench
13:51;MCRAE,MONTELL;enters the game
13:19;CARUTHERS,DONTAY;defensive rebound
12:56;MASSINBURG,CJ;goes to the bench
12:56;WILLIAMS,JEENATHAN;enters the game
12:09;BARTLEY,MARCUS;goes to the bench
12:09;COOK,AARON;enters the game
11:48;MCRAE,MONTELL;goes to the bench
11:48;HARRIS,JEREMY;enters the game
11:48;CARUTHERS,DONTAY;goes to the bench
11:48;PERKINS,NICK;enters the game
11:31;PERKINS,NICK;defensive rebound
11:22;LLOYD,SEAN;defensive rebound
10:32;BOL,THIK;goes to the bench
10:32;STRADNIEKS,RUDY;enters the game
10:08;SEGU,RONALDO;goes to the bench
10:08;JORDAN,DAVONTA;enters the game
09:29;WILLIAMS,JEENATHAN;goes to the bench
09:29;MASSINBURG,CJ;enters the game
09:06;MCGILL,ERIC;defensive rebound
08:52;GRAVES,JAYVON;goes to the bench
08:52;CARUTHERS,DONTAY;enters the game
08:52;LLOYD,SEAN;goes to the bench
08:52;BARTLEY,MARCUS;enters the game
07:58;MASSINBURG,CJ;offensive rebound
07:40;PERKINS,NICK;goes to the bench
07:40;MCRAE,MONTELL;enters the game
07:16;STRADNIEKS,RUDY;offensive rebound
07:04;JORDAN,DAVONTA;defensive rebound
06:56;COOK,AARON;defensive rebound
06:45;COOK,AARON;goes to the bench
06:45;LLOYD,SEAN;enters the game
06:27;BEANE,DARIUS;goes to the bench
06:27;COOK,AARON;enters the game
06:27;MCRAE,MONTELL;goes to the bench
06:27;PERKINS,NICK;enters the game
06:02;MCGILL,ERIC;offensive rebound
04:43;CARUTHERS,DONTAY;goes to the bench
04:43;GRAVES,JAYVON;enters the game
04:40;MCGILL,ERIC;defensive rebound
04:24;PERKINS,NICK;defensive rebound
03:58;MCGILL,ERIC;defensive rebound
03:45;PERKINS,NICK;defensive rebound
03:19;HARRIS,JEREMY;goes to the bench
03:19;CARUTHERS,DONTAY;enters the game
02:42;COOK,AARON;goes to the bench
02:42;BEANE,DARIUS;enters the game
01:43;STRADNIEKS,RUDY;defensive rebound
01:34;MCGILL,ERIC;offensive rebound
01:34;GRAVES,JAYVON;goes to the bench
01:34;HARRIS,JEREMY;enters the game
01:08;BARTLEY,MARCUS;goes to the bench
01:08;COOK,AARON;enters the game
00:33;BEANE,DARIUS;offensive rebound
00:23;STRADNIEKS,RUDY;goes to the bench
00:23;BARTLEY,MARCUS;enters the game
